Num,Name,X,Y,Z
[0],[neck],0,0.014,0.234
[1],[L-eye],-0.025,0.014,0.36
[2],[R-eye],0.025,0.014,0.36
[3],[L-ear],-0.048,0.014,0.352
[4],[R-ear],0.048,0.014,0.352
[5],[L-shoulder],-0.123,0.012,0.146
[6],[R-shoulder],0.123,0.012,0.146
[7],[L-elbow],-0.128,0.002,-0.094
[8],[R-elbow],0.128,0.002,-0.094
[9],[L-wrist],-0.131,0.012,-0.351
[10],[R-wrist],0.131,0.012,-0.351
[11],[L-hip],-0.122,0,-0.254
[12],[R-hip],0.122,0,-0.254
[13],[L-knee],-0.131,0.237,-0.252
[14],[R-knee],0.131,0.237,-0.252
[15],[L-ankle],-0.124,0.236,-0.492
[16],[R-ankle],0.124,0.236,-0.492